20-10-2022 14:56:10.730 INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 6.2.0.Final
20-10-2022 14:56:10.738 INFO  com.elcom.backend.ServiceApplication.logStarting - Starting ServiceApplication using Java 11.0.16 on DESKTOP-QNFCC5U with PID 8548 (D:\Elcom\testing\btElcom\Have Module\backend-service\target\classes started by vinhv in D:\Elcom\testing\btElcom\Have Module)
20-10-2022 14:56:10.740 INFO  com.elcom.backend.ServiceApplication.logStartupProfileInfo - The following profiles are active: common,dev
20-10-2022 14:56:11.858 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
20-10-2022 14:56:11.860 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20-10-2022 14:56:12.132 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 256 ms. Found 5 JPA repository interfaces.
20-10-2022 14:56:12.133 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
20-10-2022 14:56:12.134 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20-10-2022 14:56:12.140 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 6 ms. Found 1 JPA repository interfaces.
20-10-2022 14:56:12.149 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
20-10-2022 14:56:12.149 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
20-10-2022 14:56:12.155 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 5 ms. Found 1 Elasticsearch repository interfaces.
20-10-2022 14:56:12.572 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
20-10-2022 14:56:12.574 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
20-10-2022 14:56:12.598 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 24 ms. Found 0 Reactive Elasticsearch repository interfaces.
20-10-2022 14:56:12.624 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
20-10-2022 14:56:12.626 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
20-10-2022 14:56:12.642 INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.elcom.elastic.repository.BookEsRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
20-10-2022 14:56:12.647 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
20-10-2022 14:56:13.207 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'memcachedConfig' of type [com.elcom.backend.cache.MemcachedConfig$$EnhancerBySpringCGLIB$$2104ec89] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
20-10-2022 14:56:13.987 INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
